date,state,cases_new,difference
2021-01-01,Sabah,2413,2413
2021-01-08,Sabah,2835,422
2021-01-15,Sabah,3121,286
2021-01-22,Sabah,2610,-511
2021-01-29,Sabah,1766,-844
2021-02-05,Sabah,1212,-554
2021-02-12,Sabah,772,-440
2021-02-19,Sabah,697,-75
2021-02-26,Sabah,750,53
2021-03-05,Sabah,520,-230
2021-03-12,Sabah,338,-182
2021-03-19,Sabah,396,58
2021-03-26,Sabah,383,-13
2021-04-02,Sabah,547,164
2021-04-09,Sabah,967,420
2021-04-16,Sabah,957,-10
2021-04-23,Sabah,723,-234
2021-04-30,Sabah,533,-190
2021-05-07,Sabah,569,36
2021-05-14,Sabah,760,191
2021-05-21,Sabah,1365,605
2021-05-28,Sabah,1745,380
2021-06-04,Sabah,2002,257
2021-06-11,Sabah,1957,-45
2021-06-18,Sabah,1254,-703
2021-06-25,Sabah,1445,191
2021-07-02,Sabah,1791,346
2021-07-09,Sabah,2038,247
2021-07-16,Sabah,3918,1880
2021-07-23,Sabah,5196,1278
2021-07-30,Sabah,7290,2094
2021-08-06,Sabah,10121,2831
2021-08-13,Sabah,13898,3777
2021-08-20,Sabah,20588,6690
2021-08-27,Sabah,13326,-7262
End,Sabah,0,0
2021-01-01,Sarawak,63,63
2021-01-08,Sarawak,740,677
2021-01-15,Sarawak,782,42
2021-01-22,Sarawak,1243,461
2021-01-29,Sarawak,1149,-94
2021-02-05,Sarawak,1096,-53
2021-02-12,Sarawak,1235,139
2021-02-19,Sarawak,1444,209
2021-02-26,Sarawak,1555,111
2021-03-05,Sarawak,1454,-101
2021-03-12,Sarawak,1535,81
2021-03-19,Sarawak,1550,15
2021-03-26,Sarawak,1665,115
2021-04-02,Sarawak,2079,414
2021-04-09,Sarawak,3253,1174
2021-04-16,Sarawak,4072,819
2021-04-23,Sarawak,3867,-205
2021-04-30,Sarawak,3578,-289
2021-05-07,Sarawak,3644,66
2021-05-14,Sarawak,3138,-506
2021-05-21,Sarawak,4479,1341
2021-05-28,Sarawak,4476,-3
2021-06-04,Sarawak,4417,-59
2021-06-11,Sarawak,4403,-14
2021-06-18,Sarawak,4113,-290
2021-06-25,Sarawak,3248,-865
2021-07-02,Sarawak,2446,-802
2021-07-09,Sarawak,2387,-59
2021-07-16,Sarawak,2629,242
2021-07-23,Sarawak,2936,307
2021-07-30,Sarawak,3729,793
2021-08-06,Sarawak,5081,1352
2021-08-13,Sarawak,7413,2332
2021-08-20,Sarawak,13056,5643
2021-08-27,Sarawak,11486,-1570
End,Sarawak,0,0
2021-01-01,East Malaysia,2476,2476
2021-01-08,East Malaysia,3575,1099
2021-01-15,East Malaysia,3903,328
2021-01-22,East Malaysia,3853,-50
2021-01-29,East Malaysia,2915,-938
2021-02-05,East Malaysia,2308,-607
2021-02-12,East Malaysia,2007,-301
2021-02-19,East Malaysia,2141,134
2021-02-26,East Malaysia,2305,164
2021-03-05,East Malaysia,1974,-331
2021-03-12,East Malaysia,1873,-101
2021-03-19,East Malaysia,1946,73
2021-03-26,East Malaysia,2048,102
2021-04-02,East Malaysia,2626,578
2021-04-09,East Malaysia,4220,1594
2021-04-16,East Malaysia,5029,809
2021-04-23,East Malaysia,4590,-439
2021-04-30,East Malaysia,4111,-479
2021-05-07,East Malaysia,4213,102
2021-05-14,East Malaysia,3898,-315
2021-05-21,East Malaysia,5844,1946
2021-05-28,East Malaysia,6221,377
2021-06-04,East Malaysia,6419,198
2021-06-11,East Malaysia,6360,-59
2021-06-18,East Malaysia,5367,-993
2021-06-25,East Malaysia,4693,-674
2021-07-02,East Malaysia,4237,-456
2021-07-09,East Malaysia,4425,188
2021-07-16,East Malaysia,6547,2122
2021-07-23,East Malaysia,8132,1585
2021-07-30,East Malaysia,11019,2887
2021-08-06,East Malaysia,15202,4183
2021-08-13,East Malaysia,21311,6109
2021-08-20,East Malaysia,33644,12333
2021-08-27,East Malaysia,24812,-8832
End,East Malaysia,0,0
